,winner,film,runtime,earnings_ratio,new_rating_score,release_month,genre_1,genre_2,genre_3
558,0,Little Women,134,478.851465,-9.2,12,18,10749,0
559,0,Marriage Story,137,0,-5.82,11,35,18,10749
560,0,1917,119,364.760929,-4.99,12,18,10752,0
561,0,Once upon a Time...in Hollywood,162,393.9486811,-0.698,7,35,18,0
2,1,Wings,141,0,5.7,8,28,18,10749
5,1,The Broadway Melody,100,1149.868074,0.225,2,18,10402,10749
8,1,All Quiet on the Western Front,133,225.694061,27.3,4,18,10752,0
13,1,Cimarron,123,1,0.3,2,18,37,0
22,1,Grand Hotel,112,370.5714286,8.76,5,18,10749,0
26,1,Cavalcade,110,646.456773,-0.165,2,18,0,0
43,1,It Happened One Night,105,1384.615385,49.2,2,35,10749,0
56,1,Mutiny on the Bounty,132,228.7179487,8.56,11,12,18,36
62,1,The Great Ziegfeld,176,1,0.0365,4,18,10402,10749
75,1,The Life of Emile Zola,116,1,-2.64,10,18,0,0
89,1,You Can't Take It with You,126,451.9327722,-1.57,8,0,0,0
91,1,Gone with the Wind,233,10004.41148,21,12,18,10749,10752
109,1,Rebecca,130,465.8385093,5.76,3,18,9648,0
114,1,How Green Was My Valley,118,480,-1.44,10,18,0,0
123,1,Mrs. Miniver,134,1004.464286,-2.13,6,18,10749,10752
130,1,Casablanca,102,1191.628702,32.2,1,18,10749,0
142,1,Going My Way,126,1,-2.43,5,18,35,10402
147,1,The Lost Weekend,101,880,-0.644,11,18,0,0
150,1,The Best Years of Our Lives,172,1126.190476,-0.121,12,18,36,10749
157,1,Gentleman's Agreement,118,390,-3.35,11,18,10749,0
160,1,Hamlet,155,0,-3.56,3,18,0,0
165,1,All the King's Men,109,1,-3.5,11,18,0,0
170,1,All about Eve,139,10.74557143,16.4,10,0,0,0
175,1,An American in Paris,113,165.2041207,1.26,9,18,35,10402
180,1,The Greatest Show on Earth,152,900,-3,1,28,18,10749
185,1,From Here to Eternity,118,1848.484848,1.37,8,10752,18,10749
192,1,On the Waterfront,108,1054.945055,15.9,6,80,18,0
196,1,Marty,90,874.6355685,-2.18,4,18,10749,0
200,1,Around the World in 80 Days,175,700,-0.252,10,28,12,35
205,1,The Bridge on the River Kwai,161,1496.933333,0,10,18,36,10752
213,1,Gigi,116,0,-2.87,4,35,10402,10749
216,1,Ben-Hur,212,979.3333333,7.09,12,28,12,18
221,1,The Apartment,125,833.3333333,4.74,6,35,18,10749
229,1,West Side Story,152,727.6137,3.51,12,80,18,10402
230,1,Lawrence of Arabia,217,466.6359,9.66,12,12,18,36
239,1,Tom Jones,128,3760,-3.32,8,12,35,36
243,1,My Fair Lady,170,423.9454765,1.23,10,18,10751,10402
248,1,The Sound of Music,175,3490.418122,11.6,3,18,10751,10402
251,1,A Man for All Seasons,120,726.9230769,-2.98,12,18,36,0
259,1,In the Heat of the Night,109,1368.9989,-3.27,8,80,18,9648
262,1,Oliver!,153,374.02877,-3.67,9,18,10751,10402
268,1,Midnight Cowboy,113,1244.02925,-2.62,5,18,0,0
274,1,Patton,172,748.3333333,-2.78,1,18,36,10752
277,1,The French Connection,104,2286.597611,-1.92,10,28,80,53
283,1,The Godfather,175,4084.440183,35.5,3,18,80,0
288,1,The Sting,129,2902.115036,-0.706,12,35,80,18
292,1,The Godfather Part II,202,789.2307692,18.3,12,0,0,0
299,1,One Flew over the Cuckoo's Nest,133,3632.709167,16.4,11,0,0,0
303,1,Rocky,119,11723.5147,8.95,11,18,0,0
305,1,Annie Hall,93,956.285625,0,4,35,18,10749
311,1,The Deer Hunter,183,333.3333333,2.92,12,18,10752,0
318,1,Kramer vs. Kramer,105,1328.25,-0.00899,12,18,0,0
322,1,Ordinary People,124,0,-2.89,9,18,0,0
326,1,Chariots of Fire,123,1072.234618,-2.23,5,18,36,0
331,1,Gandhi,191,353.3540409,0.486,11,18,36,0
339,1,Terms of Endearment,132,0,-2.41,11,18,35,0
340,1,Amadeus,160,288.73905,4.07,9,18,36,10402
347,1,Out of Africa,161,414.5135645,-1.43,12,18,0,0
353,1,Platoon,120,2308.84275,4.18,12,18,10752,28
358,1,The Last Emperor,163,191.2357826,-3.76,10,18,36,0
363,1,Rain Man,134,1419.30174,1.39,12,18,0,0
367,1,Driving Miss Daisy,99,1943.910613,-3.64,12,35,18,0
371,1,Dances With Wolves,181,1928.222036,-1.05,11,0,0,0
379,1,The Silence of the Lambs,119,1435.489063,13.6,2,80,18,53
384,1,Unforgiven,131,1136.838907,-1.2,8,37,0,0
389,1,Schindler's List,195,1460.752577,13,11,18,36,10752
390,1,Forrest Gump,142,1231.614029,28.4,7,35,18,10749
397,1,Braveheart,178,291.6666667,6.24,5,28,18,36
400,1,The English Patient,162,859.1719444,-2.94,11,18,10749,10752
409,1,Titanic,194,922.517094,21.7,11,18,10749,53
413,1,Shakespeare in Love,122,1157.271176,-3.58,12,10749,36,0
415,1,American Beauty,122,2375.310673,6.18,9,18,0,0
423,1,Gladiator,155,444.3110942,13,5,28,18,12
425,1,A Beautiful Mind,135,522.5705683,3.74,12,18,10749,0
430,1,Chicago,113,681.7260711,-4.44,12,28,35,80
435,1,The Lord of the Rings: The Return of the King,201,1190.307424,20.8,12,12,14,28
442,1,Million Dollar Baby,132,722.5454867,2.57,12,18,0,0
447,1,Crash,112,1514.000938,-3.49,9,18,53,10749
451,1,The Departed,151,322.0526156,9.2,10,18,53,80
458,1,No Country for Old Men,122,686.508664,1.43,11,80,18,53
464,1,Slumdog Millionaire,120,2519.403627,1.34,5,18,10749,0
469,1,The Hurt Locker,131,280,-3.73,10,18,53,10752
479,1,The King's Speech,118,2761.410327,-0.354,9,18,36,0
485,1,The Artist,100,889.5523733,-6,6,18,35,10749
495,1,Argo,120,522.0766921,-0.424,10,18,53,0
510,1,12 Years a Slave,134,935,2.58,10,18,36,0
513,1,Birdman or (The Unexpected Virtue of Ignorance),120,573.4171889,4.56,8,0,0,0
527,1,Spotlight,129,441.732365,-0.655,11,18,53,36
536,1,Moonlight,111,1626.167175,-2.08,10,18,0,0
544,1,The Shape of Water,123,999.9469487,6.2,12,12,18,0
550,1,Green Book,130,1390,0.624,11,35,18,0
562,1,Parasite,131,2164.253014,0,5,27,878,0
